                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.61614,                0.49493,                 1.1495,                0.89305,                0.89406,                0.93449,                0.79493,                0.62747,                0.50472,                 1.0868,              0.0004754,              0.0004754,              0.0004754
                     79,                0.60739,                0.47979,                 1.1453,                0.89306,                0.89785,                0.93632,                0.79697,                0.62034,                0.49481,                 1.0836,              0.0004556,              0.0004556,              0.0004556
                     80,                0.61715,                0.48902,                 1.1601,                0.90443,                0.88155,                0.93517,                0.79939,                0.61982,                0.48727,                 1.0744,              0.0004358,              0.0004358,              0.0004358
                     81,                0.60724,                0.47708,                 1.1464,                0.92171,                0.88063,                0.93688,                 0.7984,                0.61865,                0.49059,                 1.0754,               0.000416,               0.000416,               0.000416
                     82,                0.62009,                0.48998,                 1.1569,                 0.9169,                0.87602,                0.93412,                0.79231,                0.62209,                 0.5082,                 1.0739,              0.0003962,              0.0003962,              0.0003962
                     83,                0.59732,                0.47493,                 1.1448,                0.91801,                0.87007,                 0.9308,                0.79309,                0.61643,                0.51117,                 1.0617,              0.0003764,              0.0003764,              0.0003764
                     84,                0.60606,                0.47609,                  1.148,                0.91247,                0.87986,                0.93608,                0.79841,                0.61551,                0.48722,                 1.0677,              0.0003566,              0.0003566,              0.0003566
                     85,                 0.5994,                0.46564,                 1.1449,                0.91716,                0.87282,                0.93503,                0.79595,                0.62234,                0.49996,                 1.0728,              0.0003368,              0.0003368,              0.0003368
                     86,                0.60162,                0.46815,                 1.1493,                0.90989,                0.88533,                0.93517,                0.80106,                0.61273,                0.49194,                 1.0652,               0.000317,               0.000317,               0.000317
                     87,                0.59733,                 0.4842,                 1.1436,                0.90738,                0.87922,                0.93421,                0.80131,                0.60527,                0.49532,                 1.0535,              0.0002972,              0.0002972,              0.0002972
                     88,                0.59393,                0.46487,                 1.1402,                0.93129,                0.86321,                 0.9369,                0.80547,                0.60429,                0.48607,                 1.0548,              0.0002774,              0.0002774,              0.0002774
                     89,                0.59301,                0.47397,                 1.1414,                0.92786,                0.86464,                 0.9349,                0.80462,                0.59848,                0.48558,                 1.0535,              0.0002576,              0.0002576,              0.0002576
                     90,                0.51763,                0.40929,                 1.1279,                0.90835,                0.87689,                0.93628,                0.80463,                0.60869,                0.49036,                 1.0528,              0.0002378,              0.0002378,              0.0002378
                     91,                0.51659,                0.40421,                 1.1316,                 0.9092,                  0.883,                0.93615,                0.80728,                0.60128,                0.48743,                 1.0529,               0.000218,               0.000218,               0.000218
                     92,                0.51706,                 0.4026,                 1.1195,                0.90862,                0.89421,                0.93956,                0.81273,                0.59143,                0.47485,                 1.0477,              0.0001982,              0.0001982,              0.0001982
                     93,                0.50174,                0.39182,                 1.1125,                 0.9179,                0.88359,                0.94094,                0.81197,                0.59233,                0.47988,                 1.0472,              0.0001784,              0.0001784,              0.0001784
                     94,                0.50965,                0.39484,                 1.1243,                0.91631,                 0.8859,                0.94185,                0.81381,                0.58698,                0.48503,                 1.0369,              0.0001586,              0.0001586,              0.0001586
                     95,                0.49918,                0.39379,                  1.107,                0.93417,                0.87136,                0.94074,                0.81368,                 0.5854,                0.47874,                 1.0328,              0.0001388,              0.0001388,              0.0001388
                     96,                0.49353,                0.38677,                 1.1084,                0.92713,                0.87753,                 0.9412,                0.81383,                0.58763,                0.47408,                 1.0369,               0.000119,               0.000119,               0.000119
                     97,                0.48952,                0.38075,                 1.1053,                0.93405,                0.87398,                0.94217,                0.81514,                0.58109,                0.47603,                 1.0291,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.49626,                0.37747,                 1.1065,                0.92871,                0.87776,                0.94275,                0.81603,                0.57697,                 0.4725,                  1.025,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.49206,                0.38065,                 1.1037,                0.92698,                0.87195,                0.94351,                0.81551,                0.57628,                0.47209,                 1.0268,               5.96e-05,               5.96e-05,               5.96e-05
